#                American
#   Year   Month     SSN
    1944      12    31.2
    1945       1    18.5
    1945       2    11.8
    1945       3    19.7
    1945       4    31.6
    1945       5    26.6
    1945       6    37.3
    1945       7    37.4
    1945       8    24.6
    1945       9    34.0
    1945      10    71.3
    1945      11    46.3
    1945      12    28.4
    1946       1    55.2
    1946       2    92.0
    1946       3    87.5
    1946       4    81.0
    1946       5    83.5
    1946       6    79.6
    1946       7   115.1
    1946       8   112.7
    1946       9   115.7
    1946      10   112.7
    1946      11   136.2
    1946      12   127.4
    1947       1   128.2
    1947       2   145.5
    1947       3   153.0
    1947       4   161.0
    1947       5   224.2
    1947       6   166.3
    1947       7   166.6
    1947       8   216.4
    1947       9   195.0
    1947      10   191.7
    1947      11   155.0
    1947      12   148.3
    1948       1   130.1
    1948       2   107.3
    1948       3   103.8
    1948       4   222.5
    1948       5   194.8
    1948       6   203.6
    1948       7   184.3
    1948       8   205.0
    1948       9   174.6
    1948      10   166.3
    1948      11   129.9
    1948      12   177.1
    1949       1   153.3
    1949       2   228.0
    1949       3   198.8
    1949       4   190.7
    1949       5   147.4
    1949       6   154.5
    1949       7   153.6
    1949       8   163.7
    1949       9   183.7
    1949      10   172.2
    1949      11   190.9
    1949      12   152.1
    1950       1   125.8
    1950       2   117.4
    1950       3   134.6
    1950       4   139.5
    1950       5   129.8
    1950       6    99.3
    1950       7   104.7
    1950       8   106.8
    1950       9    65.4
    1950      10    77.1
    1950      11    72.8
    1950      12    71.2
    1951       1    53.8
    1951       2    54.0
    1951       3    49.0
    1951       4    89.6
    1951       5    91.7
    1951       6    85.4
    1951       7    58.3
    1951       8    55.6
    1951       9    85.2
    1951      10    50.8
    1951      11    56.7
    1951      12    42.9
    1952       1    38.6
    1952       2    21.8
    1952       3    23.3
    1952       4    27.3
    1952       5    22.2
    1952       6    36.0
    1952       7    39.4
    1952       8    53.2
    1952       9    26.1
    1952      10    22.5
    1952      11    22.5
    1952      12    33.5
    1953       1    26.6
    1953       2     4.0
    1953       3     7.9
    1953       4    24.8
    1953       5    10.9
    1953       6    19.6
    1953       7     6.4
    1953       8    23.1
    1953       9    15.7
    1953      10     7.2
    1953      11     1.7
    1953      12     1.6
    1954       1     0.1
    1954       2     0.3
    1954       3     8.0
